54,78,Alternative Anthems,2023-02-15,400,TRUE,Passé
55,91,Classical Rendezvous,2022-10-02,600,TRUE,Passé
56,73,Disco Delights,2022-11-28,900,TRUE,Future
57,26,Folk Fest,2022-09-12,350,TRUE,Future
58,41,Summer Beats,2023-06-23,200,TRUE,Future
59,59,Jazz Jam,2022-07-19,800,TRUE,Passé
60,64,Rockin' Rhythms,2022-07-31,400,TRUE,Passé
61,80,Electro Fusion,2023-03-10,600,TRUE,Future
62,70,Pop Explosion,2022-11-21,300,TRUE,Passé
63,38,Rock Revival,2022-09-26,500,TRUE,Passé
64,92,Acoustic Harmony,2023-04-14,1200,FALSE,Future
65,19,Soulful Serenade,2022-08-05,250,TRUE,Passé
66,47,EDM Mania,2023-06-19,400,TRUE,Future
67,55,Reggae Vibes,2023-01-28,600,TRUE,Future
68,33,Summer Soirée,2022-09-05,900,TRUE,Passé
69,75,Latin Rhythms,2022-07-30,350,TRUE,Future
70,87,Rock Rebellion,2023-03-07,200,TRUE,Future
71,82,Jazz Journey,2022-10-02,800,TRUE,Passé
72,14,Harmony Fest,2022-11-27,400,TRUE,Passé
73,23,Blues & Brews,2022-09-21,600,TRUE,Future
74,98,Indie Soundscapes,2022-07-28,300,TRUE,Future
75,31,Enchanted Evening,2023-05-10,500,TRUE,Passé
76,83,Dynamic Beats,2022-08-15,1200,FALSE,Passé
77,57,Urban Fusion,2023-04-18,250,TRUE,Future
78,39,Acoustic Delights,2023-02-22,400,TRUE,Passé
79,97,Classical Reflections,2022-09-30,600,TRUE,Passé
80,95,Disco Fever,2022-11-28,900,TRUE,Future
81,36,Folk Jamboree,2022-09-10,350,TRUE,Future
82,49,Summer Swing,2023-06-15,200,TRUE,Future
83,62,Jazz Fusion,2022-07-23,800,TRUE,Passé
84,88,Rockin' Reggae,2022-07-29,400,TRUE,Passé
85,28,Electro Beats,2023-03-01,600,TRUE,Future
86,54,Pop Extravaganza,2022-11-22,300,TRUE,Passé
87,13,Symphonic Serenade,2022-10-11,500,TRUE,Passé
88,96,Smooth Soul,2023-04-10,1200,FALSE,Future
89,22,Indie Showcase,2022-08-03,250,TRUE,Passé
90,44,EDM Ecstasy,2023-06-19,400,TRUE,Future
91,61,Rhythmic Journeys,2023-01-24,600,TRUE,Future
92,37,Summer Groove,2022-09-01,900,TRUE,Passé
93,21,World Beats,2022-07-25,350,TRUE,Future
94,66,Harmonious Duet,2023-02-07,200,TRUE,Future
95,92,Soulful Reflections,2022-12-04,800,TRUE,Passé
96,50,Reggae Revival,2022-11-13,400,TRUE,Passé
97,19,Blissful Melodies,2022-09-17,600,TRUE,Future
98,35,Funk Fusion,2022-07-23,300,TRUE,Future
99,74,Sunset Serenade,2023-05-08,500,TRUE,Passé
100,83,Pop Perfection,2022-08-13,1200,FALSE,Passé
101,26,EDM Euphoria,2023-04-18,250,TRUE,Future
102,89,Alternative Anthems,2023-02-13,400,TRUE,Passé
103,64,Classical Rendezvous,2022-09-28,600,TRUE,Passé
104,72,Disco Delights,2022-11-26,900,TRUE,Future
105,42,Folk Fest,2022-09-08,350,TRUE,Future
106,94,Summer Beats,2023-06-17,200,TRUE,Future
107,71,Jazz Jam,2022-07-21,800,TRUE,Passé
108,91,Rockin' Rhythms,2022-07-27,400,TRUE,Passé
109,99,Electro Fusion,2023-03-05,600,TRUE,Future
110,58,Pop Explosion,2022-11-19,300,TRUE,Passé
111,78,Rock Revival,2022-09-24,500,TRUE,Passé
112,33,Acoustic Harmony,2023-04-12,1200,FALSE,Future
113,79,Soulful Serenade,2022-08-09,250,TRUE,Passé
114,56,EDM Mania,2023-06-15,400,TRUE,Future
115,37,Reggae Vibes,2023-01-26,600,TRUE,Future
116,42,Summer Soirée,2022-08-31,900,TRUE,Passé
117,61,Latin Rhythms,2022-07-28,350,TRUE,Future
118,78,Rock Rebellion,2023-03-03,200,TRUE,Future
119,96,Jazz Journey,2022-09-30,800,TRUE,Passé
120,25,Harmony Fest,2022-11-25,400,TRUE,Passé
